Date,Open,High,Low,Close,Volume,Change
2018-08-28,15650,16200,15650,15950,15,-0.0031250000000000444
2018-08-29,15600,16200,15600,15650,241,-0.018808777429467072
2018-08-30,15550,15900,15550,15700,9,0.0031948881789136685
2018-08-31,15500,15900,15500,15900,139,0.01273885350318471
2018-09-03,15900,16200,15550,16150,266,0.01572327044025168
2018-09-04,15800,15950,15750,15950,487,-0.012383900928792602
2018-09-05,15750,15950,15650,15650,298,-0.018808777429467072
2018-09-06,15950,16650,15950,16350,770,0.04472843450479225
2018-09-07,16350,16350,15950,16250,819,-0.006116207951070374
2018-09-10,16250,16250,16250,16250,1,0.0
2018-09-11,15700,16950,15700,16900,1129,0.040000000000000036
2018-09-12,18450,18450,16800,16800,297,-0.00591715976331364
2018-09-13,16700,18400,16650,17500,803,0.04166666666666674
2018-09-14,17500,18400,17500,18400,279,0.05142857142857138
2018-09-17,17950,17950,17300,17700,106,-0.03804347826086951
2018-09-18,17050,17400,17000,17400,24,-0.016949152542372836
2018-09-19,17400,17500,16900,17000,103,-0.02298850574712641
2018-09-20,17000,17000,16900,16900,4,-0.00588235294117645
2018-09-21,16900,16900,16900,16900,9,0.0
2018-09-27,16900,17700,15200,16300,496,-0.035502958579881616
2018-09-28,16900,17000,16900,17000,541,0.042944785276073594
2018-10-01,16050,17000,16050,17000,297,0.0
2018-10-02,16600,17950,16600,17950,662,0.055882352941176494
2018-10-04,18150,18150,16550,16600,137,-0.07520891364902504
2018-10-05,16600,16600,16000,16250,488,-0.02108433734939763
2018-10-08,15650,16200,15650,16000,1605,-0.01538461538461533
2018-10-10,15400,15950,14950,14950,1707,-0.06562500000000004
2018-10-11,14350,14700,13700,14300,1832,-0.04347826086956519
2018-10-12,13600,14450,13600,14350,1061,0.0034965034965035446
2018-10-15,14500,17350,14500,14950,14260,0.04181184668989557
2018-10-16,14750,15200,14300,14600,2894,-0.02341137123745818
2018-10-17,15600,15600,14500,14750,2272,0.010273972602739656
2018-10-18,14500,14800,14100,14800,2181,0.003389830508474523
2018-10-19,15250,15250,14500,14750,337,-0.0033783783783783994
2018-10-22,14400,14700,14400,14700,3146,-0.003389830508474523
2018-10-23,14400,14600,14200,14200,1186,-0.03401360544217691
2018-10-24,13900,14900,13900,14350,1388,0.010563380281690238
2018-10-25,14400,14400,13700,14300,3168,-0.0034843205574912606
2018-10-26,14050,15000,13800,13950,1249,-0.02447552447552448
2018-10-29,14050,14050,13600,13750,449,-0.014336917562724039
2018-10-30,13500,13600,13100,13450,154,-0.021818181818181848
2018-10-31,13250,13700,13250,13650,280,0.014869888475836479
2018-11-01,14250,14250,14250,14250,25,0.04395604395604402
2018-11-02,14400,14400,13900,14250,62,0.0
2018-11-05,14300,14300,13500,14300,20,0.0035087719298245723
2018-11-06,14250,14250,14250,14250,1,-0.0034965034965035446
2018-11-07,13800,14250,13700,13900,1238,-0.024561403508771895
2018-11-08,13900,14350,13800,13850,795,-0.003597122302158251
2018-11-09,13650,13650,13650,13650,93,-0.014440433212996373
2018-11-12,13850,13850,13800,13800,21,0.01098901098901095
2018-11-13,13050,13750,12950,13300,875,-0.036231884057971064
2018-11-14,13000,13500,13000,13350,734,0.003759398496240518
2018-11-15,13350,13350,12750,13200,525,-0.011235955056179803
2018-11-16,13150,13900,13100,13900,1295,0.05303030303030298
2018-11-19,13700,13750,13300,13300,1506,-0.043165467625899234
2018-11-20,13050,13250,13000,13200,1615,-0.007518796992481258
2018-11-21,13000,13200,13000,13200,453,0.0
2018-11-22,13200,13500,13000,13250,2394,0.0037878787878788955
2018-11-23,13000,13250,12950,13100,3727,-0.01132075471698113
2018-11-26,13000,13200,13000,13000,1644,-0.007633587786259555
2018-11-27,13100,13200,13100,13100,2277,0.007692307692307665
2018-11-28,13200,13500,12900,13200,257,0.007633587786259444
2018-11-29,13400,13400,13150,13300,1508,0.007575757575757569
2018-11-30,14500,14500,13400,13400,28,0.007518796992481258
2018-12-03,13900,13900,13900,13900,3,0.03731343283582089
2018-12-04,14100,14100,13550,13550,19,-0.025179856115107868
2018-12-05,13600,13850,12900,13850,89,0.022140221402213944
2018-12-06,14100,14100,14100,14100,3,0.018050541516245522
2018-12-07,13450,13800,13450,13600,125,-0.03546099290780147
2018-12-10,13150,13350,13000,13000,102,-0.044117647058823484
2018-12-11,13000,13200,12900,13000,41,0.0
2018-12-12,13200,13300,13000,13300,2128,0.023076923076922995
2018-12-13,13300,13350,13050,13050,30,-0.018796992481203034
2018-12-14,13050,13350,12900,12950,1216,-0.007662835249042099
2018-12-17,12850,12850,12700,12700,226,-0.019305019305019266
2018-12-18,12600,12600,12400,12500,117,-0.015748031496062964
2018-12-19,12500,12500,12150,12300,351,-0.016000000000000014
2018-12-20,12150,12150,11600,11800,517,-0.04065040650406504
2018-12-21,11800,12100,11800,12100,384,0.025423728813559254
2018-12-24,12500,12500,12500,12500,2,0.03305785123966931
2018-12-26,12350,12350,11650,11650,376,-0.06799999999999995
2018-12-27,12400,12400,11700,11850,171,0.01716738197424883
2018-12-28,12000,12000,11500,11850,704,0.0
2019-01-02,11450,11700,11400,11700,166,-0.012658227848101222
2019-01-03,12050,12050,11800,11800,10,0.008547008547008517
2019-01-04,11850,11850,11700,11800,190,0.0
2019-01-07,11800,12500,11800,12500,8,0.05932203389830515
2019-01-08,12050,12050,12050,12050,2,-0.03600000000000003
2019-01-09,12550,12550,12550,12550,10,0.04149377593361003
2019-01-10,12700,12700,12700,12700,157,0.01195219123505975
2019-01-11,12900,12900,12900,12900,2,0.015748031496062964
2019-01-14,13750,13750,11700,12800,277,-0.007751937984496138
2019-01-15,12800,12850,12700,12700,43,-0.0078125
2019-01-16,12700,12700,12700,12700,0,0.0
2019-01-17,12650,12650,12050,12450,10,-0.019685039370078705
2019-01-18,12000,12700,11850,12350,392,-0.008032128514056214
2019-01-21,12600,12600,12600,12600,7,0.020242914979757165
2019-01-22,12050,12450,12050,12050,12,-0.04365079365079361
2019-01-23,12800,12800,11800,12500,7,0.03734439834024905
2019-01-24,12050,12500,12050,12100,478,-0.03200000000000003
2019-01-25,12400,12500,12300,12450,191,0.02892561983471076
2019-01-28,12800,12800,12800,12800,1,0.028112449799196693
2019-01-29,12250,12750,12250,12750,20,-0.00390625
2019-01-30,12750,13950,12750,13950,373,0.09411764705882364
2019-01-31,12200,13450,12200,13400,179,-0.03942652329749108
2019-02-01,13400,13450,12500,13200,186,-0.014925373134328401
2019-02-07,13250,13950,13250,13750,8,0.04166666666666674
2019-02-08,13100,13200,12750,13200,152,-0.040000000000000036
2019-02-11,13100,14000,13050,14000,50,0.06060606060606055
2019-02-12,13200,13200,12950,12950,231,-0.07499999999999996
2019-02-13,13250,13850,13250,13850,88,0.06949806949806958
2019-02-14,13300,13550,13300,13550,2,-0.02166064981949456
2019-02-15,13850,13850,13850,13850,99,0.022140221402213944
2019-02-18,14000,14450,14000,14400,4476,0.03971119133573997
2019-02-19,13800,14600,13800,14550,67,0.01041666666666674
2019-02-20,14700,15500,14700,15200,547,0.04467353951890041
2019-02-21,15200,15700,15200,15700,61,0.03289473684210531
2019-02-22,14700,15500,14700,15500,4,-0.01273885350318471
2019-02-25,15200,15550,15200,15550,1009,0.003225806451612856
2019-02-26,15650,15900,15650,15750,795,0.012861736334405238
2019-02-27,15900,16050,15900,16050,1622,0.01904761904761898
2019-02-28,16400,16400,16350,16350,42,0.01869158878504673
2019-03-04,16700,16700,15400,16600,78,0.015290519877675823
2019-03-05,16350,16350,16350,16350,4,-0.015060240963855387
2019-03-06,15500,16200,15500,15700,592,-0.03975535168195721
2019-03-07,16500,16500,16400,16400,3,0.04458598726114649
2019-03-08,16000,16000,16000,16000,0,-0.024390243902439046
2019-03-11,14550,15850,14550,15850,42,-0.009375000000000022
2019-03-12,15850,15850,15850,15850,0,0.0
2019-03-13,15750,16350,15750,16350,146,0.03154574132492116
2019-03-14,16350,16500,16350,16500,7,0.00917431192660545
2019-03-15,15050,16350,15050,16350,5,-0.009090909090909038
2019-03-18,16200,16200,15300,16100,6,-0.015290519877675823
2019-03-19,15850,15850,15850,15850,5,-0.01552795031055898
2019-03-20,15750,15750,15750,15750,0,-0.006309148264984188
2019-03-21,15750,15750,15750,15750,0,0.0
2019-03-22,15750,15750,15750,15750,64,0.0
2019-03-25,15700,15700,15700,15700,0,-0.0031746031746031633
2019-03-26,15700,15700,15700,15700,1,0.0
2019-03-27,14850,15550,14850,15550,25,-0.009554140127388533
2019-03-28,16250,16250,16250,16250,28,0.045016077170418
2019-03-29,15050,16250,14550,16250,7,0.0
2019-04-01,15350,16150,15350,15900,8,-0.021538461538461506
2019-04-02,15000,15950,15000,15900,18,0.0
2019-04-03,15050,15750,15050,15750,5,-0.009433962264150941
2019-04-04,16050,16050,16050,16050,1,0.01904761904761898
2019-04-05,16000,16000,14850,15500,42,-0.034267912772585674
2019-04-08,15300,15300,14800,15250,45,-0.016129032258064502
2019-04-09,14650,15250,14600,15250,181,0.0
2019-04-10,15200,15200,15200,15200,0,-0.003278688524590123
2019-04-11,15200,15200,15200,15200,0,0.0
2019-04-12,15000,15000,15000,15000,8,-0.013157894736842146
2019-04-15,15200,15200,15000,15100,95,0.006666666666666599
2019-04-16,16450,16450,16400,16400,143,0.08609271523178808
2019-04-17,15500,15500,14350,14350,1987,-0.125
2019-04-18,14350,14950,13900,14050,417,-0.020905923344947785
2019-04-19,13800,14400,13800,14300,26,0.017793594306049876
2019-04-22,15850,15850,14900,14900,77,0.04195804195804187
2019-04-23,14150,14800,14100,14750,61,-0.010067114093959773
2019-04-24,14700,14700,14700,14700,5,-0.003389830508474523
2019-04-25,14050,14350,14000,14300,106,-0.027210884353741527
2019-04-26,13900,14250,13900,14000,4,-0.020979020979020935
2019-04-29,13500,14000,13400,14000,76,0.0
2019-04-30,13950,13950,13950,13950,0,-0.0035714285714285587
2019-05-02,13950,14000,13950,14000,10,0.0035842293906809264
2019-05-03,14000,14000,14000,14000,10,0.0
2019-05-07,13300,13500,13050,13100,140,-0.06428571428571428
2019-05-08,12550,13950,12550,13900,129,0.06106870229007644
2019-05-09,13500,13700,13000,13650,24,-0.017985611510791366
2019-05-10,13650,13650,13650,13650,0,0.0
2019-05-13,13650,13650,13650,13650,0,0.0
2019-05-14,13650,13650,13650,13650,0,0.0
2019-05-15,13650,13650,13650,13650,0,0.0
2019-05-16,13650,13650,13650,13650,1,0.0
2019-05-17,12900,13600,12900,13400,186,-0.01831501831501836
2019-05-20,12650,13850,12650,13850,49,0.033582089552238736
2019-05-21,12650,13750,12650,13750,911,-0.0072202166064981865
2019-05-22,13700,13700,12900,13450,251,-0.021818181818181848
2019-05-23,13350,13350,13350,13350,1,-0.0074349442379182396
2019-05-24,13250,13300,13250,13300,85,-0.0037453183520599342
2019-05-27,13300,13300,13300,13300,0,0.0
2019-05-28,12850,13050,12850,13050,22,-0.018796992481203034
2019-05-29,12900,13300,12900,13300,42,0.019157088122605304
2019-05-30,12500,13300,11450,13300,2993,0.0
2019-05-31,13300,13500,12550,13300,297,0.0
2019-06-03,12550,12700,12550,12700,85,-0.045112781954887216
2019-06-04,12150,12700,12100,12700,374,0.0
2019-06-05,12800,12950,12800,12900,58,0.015748031496062964
2019-06-07,13200,13200,12200,12700,1767,-0.015503875968992276
2019-06-10,12700,12950,12600,12600,181,-0.007874015748031482
2019-06-11,12600,12800,12600,12800,249,0.015873015873015817
2019-06-12,13000,13000,13000,13000,1,0.015625
2019-06-13,12450,13600,12450,13600,77,0.04615384615384621
2019-06-14,13950,14500,13950,14200,445,0.044117647058823595
2019-06-17,13450,13750,12900,13600,274,-0.04225352112676062
2019-06-18,14100,14500,13200,14350,39,0.05514705882352944
2019-06-19,14000,14300,13600,14300,101,-0.0034843205574912606
2019-06-20,13900,13900,13900,13900,0,-0.027972027972028024
2019-06-21,14300,14300,14300,14300,1,0.02877697841726623
2019-06-24,14300,14300,13350,13600,130,-0.04895104895104896
2019-06-25,12800,13350,12700,12800,93,-0.05882352941176472
2019-06-26,13100,13100,12500,12900,98,0.0078125
2019-06-27,13100,13100,12300,12750,302,-0.011627906976744207
2019-06-28,12400,12750,12250,12700,51,-0.0039215686274509665
2019-07-01,12150,12400,12000,12150,2904,-0.04330708661417326
2019-07-02,11900,12650,11900,12550,67,0.03292181069958855
2019-07-03,12550,12650,12550,12600,21,0.003984063745019917
2019-07-04,12750,12750,12750,12750,1,0.011904761904761862
2019-07-05,12850,12850,12850,12850,1,0.007843137254901933
2019-07-08,12900,12900,12150,12650,4,-0.015564202334630295
2019-07-09,12600,12650,12600,12650,25,0.0
2019-07-10,12900,12900,12100,12600,149,-0.0039525691699604515
2019-07-11,12100,12550,12100,12550,147,-0.003968253968253954
2019-07-12,12500,12500,12500,12500,0,-0.003984063745019917
2019-07-15,12500,12500,12000,12300,255,-0.016000000000000014
2019-07-16,12450,12450,12450,12450,30,0.012195121951219523
2019-07-17,12050,12400,12000,12350,151,-0.008032128514056214
2019-07-18,11950,12350,11800,12350,235,0.0
2019-07-19,12350,12350,12300,12300,50,-0.004048582995951455
2019-07-22,12300,12300,12300,12300,1,0.0
2019-07-23,12300,12300,12250,12250,162,-0.004065040650406471
2019-07-24,11850,12150,11850,12150,18,-0.008163265306122436
2019-07-25,12100,12100,11700,11950,103,-0.016460905349794275
2019-07-26,12050,12050,12050,12050,2,0.008368200836819994
2019-07-29,11700,12050,11500,12050,218,0.0
2019-07-30,11950,11950,11950,11950,0,-0.008298755186721962
2019-07-31,11100,11750,11000,11450,472,-0.04184100418410042
2019-08-01,10600,12300,10600,11800,228,0.03056768558951961
2019-08-02,12000,12250,11250,11900,430,0.008474576271186418
2019-08-05,12300,12300,11000,11950,819,0.004201680672268893
2019-08-06,8610,10500,8610,10300,713,-0.13807531380753135
2019-08-07,8080,9400,8080,9140,13565,-0.11262135922330097
2019-08-08,9990,9990,8830,8980,840,-0.017505470459518557
2019-08-09,9700,9700,9000,9000,536,0.00222717149220486
2019-08-12,9290,9400,9000,9400,1957,0.04444444444444451
2019-08-13,9400,9760,9400,9690,924,0.030851063829787195
2019-08-14,9970,9990,9700,9980,144,0.029927760577915352
2019-08-16,9390,9950,9390,9400,20,-0.05811623246492981
2019-08-19,9600,9950,9600,9950,81,0.0585106382978724
2019-08-20,9940,10500,9940,9990,351,0.004020100502512669
2019-08-21,10050,11350,10050,11350,2604,0.13613613613613618
2019-08-22,10800,12450,10800,12450,7455,0.09691629955947145
2019-08-23,12500,12500,11700,12450,1239,0.0
2019-08-26,11550,12000,11400,11550,624,-0.07228915662650603
2019-08-27,12500,12500,11150,11350,231,-0.017316017316017285
2019-08-28,11300,11900,11300,11800,37,0.0396475770925111
2019-08-29,11500,12150,11350,12150,122,0.029661016949152463
2019-08-30,11650,12000,11650,11800,1868,-0.028806584362139898
2019-09-02,12350,12350,12000,12000,4,0.016949152542372836
2019-09-03,11400,11850,11400,11800,14,-0.01666666666666672
2019-09-04,11800,12000,11800,12000,2043,0.016949152542372836
2019-09-05,11950,13700,11950,12500,3479,0.04166666666666674
2019-09-06,12800,12800,12800,12800,1,0.02400000000000002
2019-09-09,13600,13600,12250,13250,10,0.03515625
2019-09-10,13900,13900,13200,13250,29,0.0
2019-09-11,13150,13150,12650,12950,22,-0.02264150943396226
2019-09-16,13100,13100,12900,12900,3,-0.0038610038610038533
2019-09-17,13100,13100,12500,12950,136,0.003875968992248069
2019-09-18,13100,13100,13100,13100,1,0.01158301158301156
2019-09-19,13800,13800,12600,13100,70,0.0
2019-09-20,13150,13150,12750,12800,17,-0.022900763358778664
2019-09-23,12250,12600,12250,12350,1497,-0.03515625
2019-09-24,12550,12800,12100,12300,72,-0.004048582995951455
2019-09-25,13000,13000,12000,12450,433,0.012195121951219523
2019-09-26,12450,12450,12000,12450,4,0.0
2019-09-27,12000,12400,12000,12300,9,-0.012048192771084376
2019-09-30,11800,12300,11800,12250,11,-0.004065040650406471
2019-10-01,12200,12250,11850,12250,8,0.0
2019-10-02,12250,12500,12000,12200,335,-0.004081632653061273
2019-10-04,12450,12450,12400,12400,9,0.016393442622950838
2019-10-07,12000,12150,11750,12100,68,-0.024193548387096753
2019-10-08,12000,12000,12000,12000,1,-0.008264462809917328
2019-10-10,11700,11850,11700,11850,120,-0.012499999999999956
2019-10-11,11850,11850,11600,11600,2,-0.021097046413502074
2019-10-14,11500,11700,11450,11700,15,0.008620689655172376
2019-10-15,11850,12000,11750,12000,1933,0.02564102564102555
2019-10-16,12400,12400,11750,11750,7,-0.02083333333333337
2019-10-17,12000,12000,12000,12000,869,0.02127659574468077
2019-10-18,12350,12350,12350,12350,2,0.029166666666666563
2019-10-21,12200,12300,12200,12300,46,-0.004048582995951455
2019-10-22,12250,12250,12250,12250,0,-0.004065040650406471
2019-10-23,12500,12500,11000,11600,1531,-0.05306122448979589
2019-10-24,11600,11850,11600,11800,77,0.01724137931034475
2019-10-25,11850,11850,11500,11500,125,-0.025423728813559365
2019-10-28,11800,11800,11800,11800,2,0.026086956521739202
2019-10-29,11750,11750,11700,11700,3,-0.008474576271186418
2019-10-30,11650,11650,11650,11650,1,-0.004273504273504258
2019-10-31,11450,11500,11400,11500,82,-0.012875536480686733
2019-11-01,11350,12550,11350,12450,1635,0.08260869565217388
2019-11-04,13200,13200,12450,13050,24,0.04819277108433728
2019-11-05,13200,13200,13000,13200,91,0.011494252873563315
2019-11-06,13500,13500,13300,13300,32,0.007575757575757569
2019-11-07,13050,13300,12000,12000,38,-0.09774436090225569
2019-11-08,13500,13500,12700,13300,58,0.10833333333333339
2019-11-11,13250,13300,12750,12750,80,-0.041353383458646586
2019-11-12,13500,13500,13000,13000,31,0.019607843137254832
2019-11-13,13700,13700,12200,12550,143,-0.0346153846153846
2019-11-14,12050,13050,12050,13000,570,0.03585657370517925
2019-11-15,12900,12900,11950,12000,1427,-0.07692307692307687
2019-11-18,11700,12250,11400,11400,71,-0.050000000000000044
2019-11-19,11400,11800,11250,11700,17,0.026315789473684292
2019-11-20,11300,11300,11250,11250,324,-0.038461538461538436
2019-11-21,11100,11700,10800,11450,1532,0.01777777777777767
2019-11-22,10500,11050,10500,11050,132,-0.03493449781659386
2019-11-25,11800,11800,11800,11800,12,0.0678733031674208
2019-11-26,11700,11800,11650,11800,120,0.0
2019-11-27,11900,14300,11900,13000,7258,0.10169491525423724
2019-11-28,13200,16600,13100,14400,24182,0.10769230769230775
2019-11-29,14000,14550,13750,14150,5585,-0.01736111111111116
2019-12-02,13500,14600,13050,14300,2475,0.010600706713780994
2019-12-03,14700,15500,13600,14550,5145,0.0174825174825175
2019-12-04,14050,14800,13600,13600,1814,-0.06529209621993126
2019-12-05,13350,13350,12500,12650,714,-0.06985294117647056
2019-12-06,13400,13400,12650,13250,147,0.04743083003952564
2019-12-09,12550,13300,12450,12450,2341,-0.060377358490566024
2019-12-10,12350,12750,12350,12450,700,0.0
2019-12-11,12200,13000,12050,12400,1187,-0.004016064257028162
2019-12-12,12900,12900,12450,12800,1103,0.032258064516129004
2019-12-13,12500,13000,12500,12950,331,0.01171875
2019-12-16,12950,13000,12950,12950,11,0.0
2019-12-17,13050,14250,13050,13900,1581,0.07335907335907343
2019-12-18,13000,14000,13000,13950,803,0.003597122302158251
2019-12-19,14350,14350,13550,13750,132,-0.014336917562724039
2019-12-20,13600,13800,12950,13000,249,-0.054545454545454564
2019-12-23,12900,13200,12900,13200,20,0.01538461538461533
2019-12-24,12900,12900,12700,12750,15,-0.03409090909090906
2019-12-26,14600,14600,12650,13150,296,0.031372549019607954
2019-12-27,13100,13200,13050,13200,3022,0.0038022813688212143
2019-12-30,13200,13300,13200,13300,15,0.007575757575757569
2020-01-02,13300,13600,12900,13550,6,0.018796992481203034
2020-01-03,13200,13600,13200,13200,3,-0.02583025830258301
2020-01-06,12500,13200,12400,12400,1557,-0.06060606060606055
2020-01-07,12700,12700,11500,12250,1507,-0.012096774193548376
2020-01-08,11600,12250,11550,12150,446,-0.008163265306122436
2020-01-09,12100,12100,11900,11900,515,-0.020576131687242816
2020-01-10,11500,11900,11500,11900,4,0.0
2020-01-13,11900,12000,11800,11950,161,0.004201680672268893
2020-01-14,12200,12200,12000,12000,29,0.004184100418409997
2020-01-15,12200,12200,11900,11900,3,-0.008333333333333304
2020-01-16,11900,11900,11200,11450,504,-0.037815126050420145
2020-01-17,11950,11950,11500,11700,1245,0.02183406113537112
2020-01-20,11900,11900,11350,11350,104,-0.02991452991452992
2020-01-21,11350,11800,11050,11450,301,0.008810572687224738
2020-01-22,11600,11600,11300,11450,514,0.0
2020-01-23,11600,11600,11500,11500,4,0.004366812227074135
2020-01-28,11750,11750,11550,11550,11,0.004347826086956497
2020-01-29,11500,11500,10900,11100,293,-0.038961038961038974
2020-01-30,11450,11450,11200,11300,51,0.018018018018018056
2020-01-31,11500,11500,11400,11400,6,0.008849557522123908
2020-02-03,11650,11650,10400,10400,1988,-0.08771929824561409
2020-02-04,10400,11150,10400,11000,1505,0.05769230769230771
2020-02-05,11000,11100,10700,11000,309,0.0
2020-02-06,10700,11200,10700,11000,259,0.0
2020-02-07,11200,11600,11100,11600,90,0.05454545454545445
2020-02-10,11250,11600,11200,11600,4,0.0
2020-02-11,11000,11550,10950,10950,1000,-0.05603448275862066
2020-02-12,11550,11550,10750,11400,33,0.041095890410958846
2020-02-13,11400,11500,11400,11500,111,0.00877192982456143
2020-02-14,11700,11700,11600,11600,2,0.008695652173912993
2020-02-17,10550,11050,10550,11000,3093,-0.051724137931034475
2020-02-18,11000,11000,10650,11000,276,0.0
2020-02-19,11000,11000,11000,11000,10,0.0
2020-02-20,11000,11000,10950,10950,11,-0.004545454545454519
2020-02-21,10650,10950,10600,10600,109,-0.03196347031963476
2020-02-24,10150,10450,10050,10100,407,-0.047169811320754707
2020-02-25,10100,10450,10050,10450,186,0.034653465346534684
2020-02-26,10450,11200,10400,11150,13,0.06698564593301426
2020-02-27,10950,10950,10350,10350,26,-0.0717488789237668
2020-02-28,10550,10550,9810,9810,570,-0.05217391304347829
2020-03-02,10200,10200,10100,10200,227,0.039755351681957096
2020-03-03,9800,11250,9800,10500,518,0.02941176470588225
2020-03-04,11250,11250,9980,11250,65,0.0714285714285714
2020-03-05,10550,11350,10550,11250,140,0.0
2020-03-06,11300,11300,11000,11000,11,-0.022222222222222254
2020-03-09,10200,10900,10200,10800,32,-0.018181818181818188
2020-03-10,10250,10700,10250,10700,14,-0.0092592592592593
2020-03-11,9900,10450,9900,10300,140,-0.03738317757009346
2020-03-12,9610,11150,8790,8790,2979,-0.1466019417475728
2020-03-13,8800,8800,7490,8380,2338,-0.04664391353811148
2020-03-16,8490,8490,8490,8490,2,0.013126491646778149
2020-03-17,8100,8100,7650,7800,311,-0.08127208480565373
2020-03-18,8260,8260,6770,6770,331,-0.13205128205128203
2020-03-19,6770,6770,5070,6480,1383,-0.04283604135893648
2020-03-20,7370,7370,5460,5610,3290,-0.1342592592592593
2020-03-23,5610,5610,5080,5560,743,-0.0089126559714795
2020-03-24,5960,5960,5700,5950,1079,0.07014388489208634
2020-03-25,6130,6720,6130,6600,930,0.10924369747899165
2020-03-26,6720,8100,6720,7000,3523,0.06060606060606055
2020-03-27,7010,7500,7000,7020,2009,0.0028571428571428914
2020-03-30,7020,7450,7020,7450,140,0.061253561253561184
2020-03-31,8000,8000,7700,7700,22,0.033557046979865834
2020-04-01,7700,7700,7250,7250,87,-0.058441558441558406
2020-04-02,6900,7500,6900,7400,32,0.020689655172413834
2020-04-03,7400,7400,7010,7370,33,-0.004054054054054013
2020-04-06,7370,7550,7060,7500,642,0.01763907734056991
2020-04-07,7450,8100,7450,8100,1763,0.08000000000000007
2020-04-08,8090,8400,8090,8400,439,0.03703703703703698
2020-04-09,8400,8590,8380,8590,42,0.02261904761904754
2020-04-10,8690,8690,8340,8340,65,-0.029103608847497076
